aveQtyPerPurchase,medHitTotal,medPageView,medRevenuePerSess,medTimeBtwnSess,minTimeBtwnSess,numOfSess,percentSessWithPurchase
126.0,321.0,-145.0,38.5,941.5,1932.0,-1105.0,46.5
187.6,615.0,-100.0,128.73,1372.7,3696.0,-767.5,136.73
2569.0,1329.0,57.5,48023.15,18042.5,7980.0,413.75,48031.15
126.0,747.0,-77.5,38.5,941.5,4488.0,-598.75,46.5
126.0,375.0,-137.5,38.5,941.5,2256.0,-1048.75,46.5
127.0,297.0,-145.0,38.5,948.5,1788.0,-1105.0,46.5
210.0,489.0,-122.5,739.06,1529.5,2940.0,-936.25,747.06
266.0,453.0,-130.0,7989.87,1921.5,2724.0,-992.5,7997.87
126.0,273.0,-152.5,38.5,941.5,1644.0,-1161.25,46.5
242.666666667,387.0,-115.0,6583.255,1758.16666667,2328.0,-880.0,6591.255
182.0,1539.0,57.5,537.67,1333.5,9240.0,413.75,545.67
186.333333333,777.0,-62.5,389.41,1363.83333333,4668.0,-486.25,397.41
126.0,219.0,-152.5,38.5,941.5,1320.0,-1161.25,46.5
126.0,483.0,-100.0,38.5,941.5,2904.0,-767.5,46.5
133.0,705.0,-85.0,234.22,990.5,4236.0,-655.0,242.22
126.0,309.0,-145.0,38.5,941.5,1860.0,-1105.0,46.5
157.5,417.0,-130.0,1945.545,1162.0,2508.0,-992.5,1953.545
217.0,393.0,-130.0,3048.71,1578.5,2364.0,-992.5,3056.71
140.0,483.0,-115.0,326.48,1039.5,2904.0,-880.0,334.48
245.0,369.0,-130.0,1562.33,1774.5,2220.0,-992.5,1570.33
133.0,471.0,-115.0,686.7,990.5,2832.0,-880.0,694.7
137.666666667,456.0,-126.25,686.735,1023.16666667,2742.0,-964.375,694.735
